SESSION_START flags={'narration_enabled': False}
SESSION_START flags={'narration_enabled': False}
SESSION_START flags={'narration_enabled': False}
16:09:44 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:09:48 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:09:56 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:09:56 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
16:09:56 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
SESSION_START flags={'narration_enabled': False}
SESSION_START flags={'narration_enabled': False}
SESSION_START flags={'narration_enabled': False}
16:13:04 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:13:37 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:13:39 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:13:41 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:13:49 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:13:52 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:13:53 DEBUG: emit_event type=combat_result (has_session=True, has_emit=True)
SESSION_START flags={'narration_enabled': False}
16:15:10 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
SESSION_START flags={'narration_enabled': False}
16:16:33 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:16:58 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:17:00 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
16:17:00 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:17:03 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:17:05 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:17:05 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
16:17:05 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:17:15 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:17:18 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:17:24 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:17:24 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
16:17:24 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:17:31 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:17:31 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
16:17:31 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:17:34 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:17:36 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:17:36 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
16:17:36 DEBUG: emit_event type=interrupt_window (has_session=True, has_emit=True)
16:17:39 DEBUG: emit_event type=declare_chain (has_session=True, has_emit=True)
16:17:42 DEBUG: emit_event type=interrupt (has_session=True, has_emit=True)
16:17:42 DEBUG: emit_event type=chain_interrupted (has_session=True, has_emit=True)
